Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2021;;;;;;;;;;;;
Ano de Lançamento;CPB;Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF2;Distribuidora;Máximo de Salas;Público;Renda (R$)
1995;B0400064200000;A Causa Secreta;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP;-;-;Riofilme;ND;3000;15000
1995;B0500310700000;Carlota Joaquina, Princesa Do Brazil;Carla Camurati;Ficção;Copacabana Filmes E Produções;RJ;-;-;Elimar;33;1286000;6430000
1995;B0500264600000;Carmen Miranda - Bananas Is My Business;Helena Solberg;Documentário;Radiante Filmes;RJ;-;-;Riofilme;ND;15470;90000
1995;-;Cinema De Lágrimas;Nelson Pereira Dos Santos;Ficção;Meta Vídeo Produções;RJ;-;-;Riofilme;ND;1575;7500
1995;B0300012900000;Efeito Ilha;Luiz Alberto Pereira;Ficção;Lapfilme;SP;-;-;Riofilme;ND;3000;15000
1995;B0500311400000;Louco Por Cinema;André Luiz Oliveira;Ficção;Asacine Produções;DF;-;-;Riofilme;ND;12991;60000
1995;B0700675000000;Menino Maluquinho - O Filme;Helvécio Ratton;Ficção;Grupo Novo De Cinema E Tv;RJ;-;-;S. Ribeiro/Riofilme;31;397023;1532509
1995;B1101392800000;O Mandarim;Julio Bressane;Ficção;Julio Bressane;RJ;-;-;Riofilme;ND;7616;35000
1995;B0500309200000;O Quatrilho;Fábio Barreto;Ficção;Filmes Do Equador;RJ;-;-;S. Ribeiro;64;1117154;4513302
1995;B0500434300000;Perfume De Gardênia;Guilherme De Almeida Prado;Ficção;Star Filmes;SP;-;-;Riofilme;ND;9077;55000
1995;-;Super Colosso;Luiz Ferré;Ficção;Play Vídeo Produções Para Cinema E Televisão;SP;-;-;Paris;216;154762;506027
1995;B0500277600000;Sábado;Ugo Giorgetti;Ficção;Iguana Filmes;SP;-;-;Mais Filmes;ND;155000;906750
1995;B0500310300000;Terra Estrangeira;Daniela Thomas/Walter Salles;Ficção;Videofilmes;RJ;-;-;Riofilme;ND;112840;500000
1995;B0400073200000;Yndio Do Brasil;Sylvio Back;Documentário;Usina De Kyno;RJ;-;-;Riofilme;ND;3000;15000
1996;"B0400061500000/
B0400085400000/
B0400057300000/
B0400051000000";A Felicidade É...;José Roberto Torero/Cecílio Neto/Jorge Furtado/José Pedro Goulart;Ficção;Casa De Cinema De Porto Alegre/Superfilmes/Zeppelin Filmes;RS/SP/RS;-;-;Riofilme;ND;3000;15000
1996;B0400052400000;As Meninas;Emiliano Ribeiro;Ficção;Ipê Artes;RJ;-;-;Riofilme;3;13527;49957
1996;-;Cassiopéia;Clóvis Vieira;Animação;N.D.R. Filmes Produções;SP;-;-;Riofilme;34;14224;60359
1996;B0500289500000;Como Nascem Os Anjos;Murilo Salles;Ficção;Cinema Brasil Digital;RJ;-;-;Riofilme;2;41945;200000
1996;B0500310500000;Corisco E Dadá;Rosemberg Cariry;Ficção;Cariri Filmes;CE;-;-;Riofilme;ND;13525;60000
1996;B0500311200000;Doces Poderes;Lucia Murat;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Riofilme;ND;13809;60000
